Username,Password,Role,Gender,DOB,LastLogin,TotalOrder,TotalSpent
test123,Testing123,Manager,Female,2001-09-11,2025-09-19 00:01,-,-
XinMin,1WantSleep,Cashier,Female,-,2024-11-03 17:52,-,-
Raj123,rajenG@y5,Baker,Male,-,2024-11-03 17:48,-,-
Huge_Jazz,touch100Horses,Customer,Male,2005-01-01,2024-09-30 01:06,2,41.98
Sangeer_14,Wiki1234,Cashier,Female,-,2024-10-15 20:45,-,-
tina98,tuna_butt@r34,Customer,Female,2005-02-15,2024-09-26 01:06,6,45.00
lucas45,Book!2023,Customer,Male,2004-07-12,2024-09-29 16:25,2,50.00
ben_j34,Colorful21$,Customer,Male,2005-01-10,2024-11-03 07:28,1,20.00
kira_w66,SunnyDay5!,Customer,Female,2003-03-22,2024-11-03 07:23,1,15.00
max89,Ming@123,Customer,Male,2005-05-30,2024-11-03 16:41,2,100.00
lina44,CleverGirl1,Customer,-,2001-05-31,2024-11-03 07:34,1,15.00
june78,Candy4U!@,Customer,Female,2005-06-14,2024-09-30 16:25,2,30.00
sara76,Hiking8@!,Customer,Female,2004-02-02,2024-09-30 17:40,1,25.00
harry23,Star!1234,Customer,Male,2002-11-11,2024-09-30 16:53,2,60.00
nash_j72,FlowerPower1,Customer,Male,2003-12-05,2024-09-30 01:10,1,15.00
kenny12,Jump4Joy!@,Customer,Male,2005-09-30,2024-11-03 07:32,1,40.00
joey55,CoolKid123!,Customer,Male,2004-04-21,2024-09-12 01:10,2,70.00
